is_error,is_post_error,is_complete,cue1,cue2,release1,release2,choice,drop,delay,condition,rt_bar2red,rt_red2cue,rt_cueon_to_cue1,rt_release1,rt_cue1_to_cue2,rt_release2,filename
0,0,1,yellow,purple,0,1,1,4,10,6,,,0.7669,NaN,1.11883333333333,0.547933333333333,S160719
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.3848,NaN,1.11883333333333,0.307966666666665,S160719
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.08483333333334,NaN,1.11883333333333,0.339966666666669,S160719
0,0,1,yellow,purple,0,1,1,2,1,1,,,2.0197,NaN,1.11883333333333,0.31496666666667,S160719
0,0,1,purple,,1,0,1,6,5,8,,,1.08483333333334,0.480933333333333,NaN,NaN,S160719
0,0,1,purple,,1,0,1,6,5,8,,,1.70176666666666,0.428933333333333,NaN,NaN,S160719
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.3848,NaN,1.11883333333334,0.368966666666665,S160719
0,0,1,purple,,1,0,1,4,1,4,,,1.70176666666667,0.381933333333336,NaN,NaN,S160719
0,0,1,purple,,1,0,1,2,5,2,,,0.766900000000007,0.401933333333332,NaN,NaN,S160719
0,0,1,purple,,1,0,1,2,5,2,,,2.01973333333333,0.4739,NaN,NaN,S160719
0,0,1,purple,,1,0,1,6,1,7,,,1.70276666666666,0.382933333333341,NaN,NaN,S160719
0,0,1,purple,yellow,0,1,0,4,10,6,,,1.08486666666667,NaN,1.11883333333333,0.347066666666677,S160719
1,0,0,,,0,0,NaN,2,1,1,,,NaN,NaN,NaN,NaN,S160719
0,1,1,yellow,purple,0,1,1,2,1,1,,,0.766866666666672,NaN,1.11883333333333,0.368966666666665,S160719
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.3848,NaN,1.11883333333334,0.354966666666655,S160719
1,0,0,,,0,0,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,S160719
0,1,1,purple,,1,0,1,2,5,2,,,0.766899999999993,0.424933333333342,NaN,NaN,S160719
0,0,1,yellow,purple,0,1,1,2,1,1,,,2.01973333333333,NaN,1.11883333333333,0.35293333333334,S160719
0,0,1,yellow,,1,0,0,4,10,6,,,1.70176666666666,0.334066666666672,NaN,NaN,S160719
0,0,1,purple,yellow,0,1,0,2,10,3,,,0.766899999999993,NaN,1.11883333333336,0.326066666666662,S160719
0,0,1,purple,,1,0,1,6,1,7,,,1.08383333333333,0.401966666666681,NaN,NaN,S160719
0,0,1,purple,,1,0,1,4,5,5,,,1.38480000000001,0.436933333333315,NaN,NaN,S160719
0,0,1,yellow,purple,0,1,1,6,5,8,,,2.0197,NaN,1.11883333333336,0.33693333333332,S160719
0,0,1,purple,,1,0,1,4,5,5,,,1.08383333333333,0.418933333333342,NaN,NaN,S160719
0,0,1,purple,,1,0,1,4,5,5,,,1.08483333333334,0.458933333333334,NaN,NaN,S160719
0,0,1,yellow,purple,0,1,1,2,10,3,,,1.70273333333333,NaN,1.11886666666666,0.712900000000019,S160719
1,0,0,,,0,0,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,S160719
0,1,1,yellow,purple,0,1,1,6,1,7,,,0.766899999999993,NaN,1.11886666666669,0.370933333333312,S160719
0,0,1,purple,,1,0,1,4,1,4,,,1.38479999999998,0.456933333333325,NaN,NaN,S160719
1,0,0,,,0,0,NaN,4,1,4,,,NaN,NaN,NaN,NaN,S160719
0,1,1,yellow,purple,0,1,1,4,1,4,,,2.0197,NaN,1.11883333333336,0.280966666666671,S160719
0,0,1,yellow,,1,0,0,2,10,3,,,0.766866666666687,0.554066666666671,NaN,NaN,S160719
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.40176666666667,NaN,1.11886666666666,0.269966666666647,S160719
0,0,1,purple,yellow,0,1,0,4,10,6,,,1.70276666666666,NaN,1.11883333333336,0.325066666666658,S160719
0,0,1,yellow,,1,0,0,2,10,3,,,2.0197,0.342066666666682,NaN,NaN,S160719
0,0,1,purple,,1,0,1,4,1,4,,,1.38480000000004,0.424933333333286,NaN,NaN,S160719
0,0,1,purple,,1,0,1,4,5,5,,,1.38580000000002,0.383933333333346,NaN,NaN,S160719
0,0,1,purple,,1,0,1,4,5,5,,,1.70176666666669,0.404933333333304,NaN,NaN,S160719
0,0,1,yellow,purple,0,1,1,6,10,9,,,0.766900000000021,NaN,1.11883333333333,0.345966666666641,S160719
0,0,1,yellow,purple,0,1,1,6,10,9,,,1.70276666666666,NaN,1.11883333333333,0.480933333333326,S160719
0,0,1,yellow,,1,0,0,4,10,6,,,1.08386666666667,0.335066666666705,NaN,NaN,S160719
1,0,0,,,0,0,NaN,2,1,1,,,NaN,NaN,NaN,NaN,S160719
0,1,1,yellow,purple,0,1,1,2,1,1,,,2.0197,NaN,1.11883333333333,0.204966666666678,S160719
0,0,1,purple,,1,0,1,4,1,4,,,1.08483333333334,0.358966666666674,NaN,NaN,S160719
0,0,1,purple,,1,0,1,6,1,7,,,1.70173333333332,0.404933333333361,NaN,NaN,S160719
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.38476666666668,NaN,1.11883333333333,0.261000000000024,S160719
0,0,1,purple,yellow,0,1,0,2,10,3,,,2.01973333333336,NaN,1.11883333333333,0.347100000000012,S160719
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.38580000000002,NaN,1.11883333333333,0.290966666666634,S160719
0,0,1,purple,,1,0,1,6,10,9,,,0.766866666666658,1.01186666666672,NaN,NaN,S160719
0,0,1,purple,yellow,0,1,0,4,10,6,,,1.08386666666667,NaN,1.11883333333333,0.317100000000039,S160719
0,0,1,yellow,,1,0,0,2,5,2,,,0.766899999999964,0.493066666666664,NaN,NaN,S160719
0,0,1,yellow,,1,0,0,2,10,3,,,1.70273333333336,0.334099999999978,NaN,NaN,S160719
1,0,0,,,0,0,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,S160719
0,1,1,yellow,purple,0,1,1,2,1,1,,,2.0197,NaN,1.11883333333333,0.297966666666696,S160719
0,0,1,purple,,1,0,1,6,5,8,,,0.766866666666658,0.478933333333316,NaN,NaN,S160719
0,0,1,purple,yellow,0,1,0,4,10,6,,,1.38479999999998,NaN,1.11883333333333,0.304100000000005,S160719
0,0,1,yellow,,1,0,0,2,10,3,,,1.70276666666666,0.315133333333335,NaN,NaN,S160719
0,0,1,purple,,1,0,1,6,1,7,,,1.38479999999998,0.382933333333312,NaN,NaN,S160719
0,0,1,purple,yellow,0,1,0,4,10,6,,,0.766899999999964,NaN,1.11883333333338,0.302099999999996,S160719
0,0,1,yellow,,1,0,0,6,10,9,,,1.38479999999998,0.373133333333328,NaN,NaN,S160719
0,0,1,purple,yellow,0,1,0,2,10,3,,,1.0848666666667,NaN,1.11883333333333,0.326099999999997,S160719
0,0,1,purple,,1,0,1,6,5,8,,,2.01966666666664,0.36396666666667,NaN,NaN,S160719
0,0,1,yellow,,1,0,0,2,10,3,,,1.0838333333333,0.398099999999999,NaN,NaN,S160719
0,0,1,purple,,1,0,1,4,1,4,,,1.70173333333332,0.340966666666702,NaN,NaN,S160719
0,0,1,yellow,purple,0,1,1,6,10,9,,,1.38479999999998,NaN,1.11886666666669,0.229933333333349,S160719
1,0,0,,,0,0,NaN,4,1,4,,,NaN,NaN,NaN,NaN,S160719
0,1,1,purple,,1,0,1,4,1,4,,,0.767899999999997,0.449933333333377,NaN,NaN,S160719
0,0,1,yellow,purple,0,1,1,4,5,5,,,2.01870000000002,NaN,1.1198333333333,0.338966666666693,S160719
0,0,1,yellow,purple,0,1,1,6,5,8,,,1.70273333333336,NaN,1.11883333333333,0.374966666666694,S160719
0,0,1,purple,,1,0,1,6,1,7,,,1.08483333333328,0.407933333333347,NaN,NaN,S160719
0,0,1,yellow,,1,0,0,6,10,9,,,1.38480000000004,0.363099999999974,NaN,NaN,S160719
