is_error,is_post_error,is_complete,cue1,cue2,release1,release2,choice,drop,delay,condition,rt_bar2red,rt_red2cue,rt_cueon_to_cue1,rt_release1,rt_cue1_to_cue2,rt_release2,filename
0,0,1,yellow,purple,0,1,1,6,1,7,,,0.759999999999991,NaN,1.11000000000013,0.369999999999891,T130930
0,0,1,purple,,1,0,1,6,1,7,,,1.38499999999999,0.320999999999913,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.077,NaN,1.10400000000004,0.365000000000009,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,2.01299999999992,NaN,1.10400000000004,0.420000000000073,T130930
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.077,NaN,1.10400000000004,0.448999999999842,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.71299999999997,NaN,1.10300000000007,0.328999999999951,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.39499999999998,NaN,1.10300000000007,0.495999999999867,T130930
0,0,1,yellow,purple,0,1,1,2,5,2,,,1.71199999999999,NaN,1.10300000000007,0.277000000000044,T130930
0,0,1,purple,,1,0,1,4,1,4,,,0.760999999999967,0.375,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,1,4,,,2.00999999999999,0.316000000000031,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,5,5,,,1.71299999999997,0.462999999999965,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,1,7,,,1.07100000000014,0.348999999999933,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,5,5,,,1.39400000000001,0.524000000000115,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,5,8,,,0.760999999999967,0.611000000000104,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,10,9,,,1.39599999999996,0.325000000000045,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,10,9,,,0.759999999999991,NaN,1.10899999999992,0.355999999999995,T130930
0,0,1,purple,,1,0,1,2,10,3,,,2.01099999999997,0.454999999999927,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,2,5,2,,,1.71299999999997,0.354000000000042,NaN,NaN,T130930
1,0,0,purple,yellow,0,0,NaN,6,10,9,,,0.760999999999967,NaN,1.10799999999995,NaN,T130930
0,1,1,purple,,1,0,1,6,10,9,,,1.07899999999995,0.691000000000031,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,4,10,6,,,1.38499999999999,0.546000000000049,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,1,7,,,2.01199999999994,NaN,1.10400000000004,0.29099999999994,T130930
0,0,1,yellow,purple,0,1,1,6,5,8,,,1.077,NaN,1.10400000000004,0.401000000000067,T130930
0,0,1,purple,,1,0,1,2,5,2,,,1.077,0.422000000000025,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,5,5,,,1.69699999999989,0.412000000000035,NaN,NaN,T130930
0,0,1,purple,,1,0,1,2,10,3,,,0.759999999999991,0.6099999999999,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,4,10,6,,,1.38499999999999,0.419999999999845,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,2.01300000000015,NaN,1.10399999999981,0.304000000000087,T130930
0,0,1,yellow,purple,0,1,1,6,5,8,,,2.01199999999994,NaN,1.10400000000004,0.355999999999995,T130930
0,0,1,yellow,,1,0,0,2,10,3,,,0.77800000000002,0.81899999999996,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,5,8,,,1.38499999999999,NaN,1.11899999999991,0.315000000000055,T130930
0,0,1,purple,,1,0,1,6,10,9,,,1.69599999999991,0.483000000000175,NaN,NaN,T130930
1,0,0,purple,,0,0,NaN,4,10,6,,,2.01299999999992,NaN,NaN,NaN,T130930
0,1,1,purple,,1,0,1,4,10,6,,,1.39499999999998,0.330000000000155,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,5,8,,,1.38499999999999,0.368999999999915,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,5,5,,,1.71299999999997,0.330000000000155,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,2,10,3,,,0.759999999999991,NaN,1.10799999999995,0.335000000000036,T130930
0,0,1,purple,yellow,0,1,0,6,10,9,,,1.69799999999987,NaN,1.10699999999997,0.160000000000082,T130930
0,0,1,yellow,purple,0,1,1,4,10,6,,,1.07100000000014,NaN,1.11400000000003,0.345000000000027,T130930
0,0,1,yellow,purple,0,1,1,4,1,4,,,1.38499999999999,NaN,1.11999999999989,0.303000000000111,T130930
0,0,1,purple,,1,0,1,2,10,3,,,2.00900000000001,0.33400000000006,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,2,5,2,,,1.07799999999997,0.488000000000056,NaN,NaN,T130930
0,0,1,purple,,1,0,1,2,5,2,,,1.69699999999989,0.331000000000131,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,4,1,4,,,1.39499999999998,NaN,1.10399999999981,0.307000000000016,T130930
0,0,1,purple,,1,0,1,4,10,6,,,2.0139999999999,0.366999999999962,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.38499999999999,NaN,1.11799999999994,0.301999999999907,T130930
0,0,1,purple,,1,0,1,4,1,4,,,0.759999999999991,0.375999999999976,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.07799999999997,NaN,1.10400000000004,0.31899999999996,T130930
0,0,1,yellow,purple,0,1,1,4,5,5,,,0.761000000000195,NaN,1.10500000000002,0.361999999999853,T130930
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.71299999999997,NaN,1.10400000000004,0.326000000000022,T130930
0,0,1,purple,,1,0,1,4,1,4,,,2.0139999999999,0.307000000000016,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,5,8,,,0.759999999999991,1.02600000000007,NaN,NaN,T130930
0,0,1,purple,,1,0,1,2,5,2,,,1.39600000000019,0.398999999999887,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,1,4,,,1.69799999999987,0.297000000000025,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,10,6,,,1.39599999999996,0.506000000000085,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,2,5,2,,,0.759999999999991,0.695999999999913,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,1,7,,,1.39599999999996,0.277000000000044,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,2,5,2,,,1.07200000000012,NaN,1.11500000000001,0.394999999999982,T130930
0,0,1,yellow,purple,0,1,1,6,5,8,,,2.00900000000001,NaN,1.11300000000006,0.134000000000015,T130930
0,0,1,purple,,1,0,1,4,10,6,,,1.07200000000012,0.521999999999935,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,10,6,,,1.71199999999999,0.447000000000116,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,2,10,3,,,1.38499999999999,0.353999999999814,NaN,NaN,T130930
1,0,0,,,0,0,NaN,2,10,3,,,NaN,NaN,NaN,NaN,T130930
1,1,0,,,0,0,NaN,2,10,3,,,NaN,NaN,NaN,NaN,T130930
1,1,0,,,0,0,NaN,2,10,3,,,NaN,NaN,NaN,NaN,T130930
1,1,0,,,0,0,NaN,2,10,3,,,NaN,NaN,NaN,NaN,T130930
0,1,1,yellow,,1,0,0,2,10,3,,,1.07799999999997,0.330999999999904,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,10,9,,,1.38400000000001,0.417000000000144,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,4,1,4,,,0.760999999999967,NaN,1.10400000000004,0.302999999999884,T130930
0,0,1,purple,,1,0,1,4,1,4,,,1.39599999999996,0.29300000000012,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,1,7,,,0.759999999999991,NaN,1.1099999999999,0.316000000000031,T130930
1,0,0,,,0,0,NaN,2,10,3,,,NaN,NaN,NaN,NaN,T130930
0,1,1,yellow,,1,0,0,2,10,3,,,1.71299999999997,0.29300000000012,NaN,NaN,T130930
